$id	$ref	$version	$task	$status	$status_detail	$created_date	$entry_date	$owner	$follow_up_date	$phone	$timezone	$caller_id	$source	$comment	$error	$call_order	Telefonnummer	ansprache	Titel	vorname	nachname	firma	strasse	adresszusatz	plz	ort	email	url	info_1	info_2	info_3	info_4	info_5	HOT_LEAD	Sales_Pitch	notiz	Wiedervorlagenart	Geprüfte_Email	Geprüfte_Anrede	AP_Vorname	AP_Nachname	AP_Funktion	Datum_bei_Termin	Termin_Uhrzeit	Number_Type	Number_Found_At	Beschreibung	Kategorie	Industry	Description	Key_Resonating_Themes	Matched_Partner_Name	Matched_Partner_Description	is_b2b	serves_1000	matched_golden_partner	match_reasoning	Avg_Leads_Per_Day	Rank	Branche_pitch	Lead_Pitch	id	customer_target_segments	$$anrufen_task	$$anrufen_user	$$anrufen_date	$$anrufen_status	$$anrufen_status_detail	$$call_task	$$call_user	$$call_date	$$call_status	$$call_status_detail	$$manuav_task	$$manuav_user	$$manuav_date	$$manuav_status	$$manuav_status_detail	$recording	$recording_url	$share
22A6WPB7R6B3N2YF		GAHMW2LM9JM3HBUK	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+4316672110	Europe/Vienna		Adressrecherche_Edel_Anna_Alt.csv				0043 1 667 21 10					heindl						https://www.heindl.co.at																			Österreichischer Familienbetrieb, spezialisiert auf Pralinen, Schokoladen und traditionelle Süßwaren.																											manuav_a_liste		2025-05-26T13:40:06.644Z	open	$none			
292DTJPMZWK3RTKR		FECYH32ZJWA8XQ74	manuav_a_liste	open	$none	2025-05-26T13:34:44.261Z	2025-05-26T13:34:44.261Z			+49726291890	Europe/Berlin		Adressen A 22.05.25 (1).csv				0049 7262 918 90					LiKAMED GmbH						likamed.de	Medizintechnik – Behandlungsliegen & Therapiegeräte																		Hersteller von Therapie- und Behandlungsliegen für Dialyse, Onkologie und Infusionstherapie.																											manuav_a_liste		2025-05-26T13:34:54.356Z	open	$none			
2AGHHMLDXZXQQWRF		V39E84LKA6ZQ855Q	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+497364200	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 736 42 00					Zeiss						https://www.zeiss.de/																			(Medizintechnik, Halbleitertechnik, Messtechnik, Mikroskopie, Brillengläser etc.).																											manuav_a_liste		2025-05-26T13:40:12.523Z	open	$none			
2C2YTFZFGD3SVNWN		FBMWQ2WKTEBFTTFK	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+49344341379330	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 344 341 379 330					United Chocolate Group						united-chocolate.com																			Bietet handwerkliche Schokoladenkreationen für Geschäftskunden mit individuellen Gestaltungsmöglichkeiten.																											manuav_a_liste		2025-05-26T13:39:55.284Z	open	$none			
2DA5F4K425PTCNLV		RH29DMZ8DLA3TK4K	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+4989215467100	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 89 215 46 71 00					Alasco						www.alasco.com/de																			Deutsches Startup, das eine Software für digitales Finanzmanagement in Bauprojekten entwickelt hat, um Kostenkontrolle und Effizienz zu steigern.																											manuav_a_liste		2025-05-26T13:40:18.320Z	open	$none			
2EH7HUDMQFECESV7		5P42QDQQJ73LPU96	manuav_a_liste	open	$none	2025-05-26T13:34:44.261Z	2025-05-26T13:34:44.261Z			+49633114330	Europe/Berlin		Adressen A 22.05.25 (1).csv				0049 6331 14 330					PKM Packaging GmbH						karton-blister.de	Verpackungsindustrie																		Spezialisiert auf nachhaltige Karton-Blister als Alternative zu Kunststoffverpackungen.																											manuav_a_liste		2025-05-26T13:34:46.723Z	open	$none			
2MV2YQQZ9BLAYXLT		CBDLQNP56UKEZJX5	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+4933158148940	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 331 58 148 940					Koppla						www.koppla.de																			Berliner Unternehmen, das eine digitale Lösung für das Baustellenmanagement entwickelt hat, um Prozesse und Kommunikation zu optimieren.																											manuav_a_liste		2025-05-26T13:40:19.217Z	open	$none			
2NKGTWLYVXEGNMBP		K8Q4VP99RQNB7CLM	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+41562040700	Europe/Zurich		Adressrecherche_Edel_Anna_Alt.csv				0041 56 2040700					w-4						https://www.w-4.ch																			Full-Service-Agentur mit Fokus auf B2B- und B2B2C-Marketing sowie Marketing-Automatisierung.																											manuav_a_liste		2025-05-26T13:40:01.057Z	open	$none			
2TJ8VD49X6J74VDN		D472EDH3RYPF8MUM	manuav_a_liste	open	$none	2025-05-26T13:34:44.261Z	2025-05-26T13:34:44.261Z			+43627443210	Europe/Vienna		Adressen A 22.05.25 (1).csv				0043 6274 43 210					Sigmatek GmbH & Co KG						sigmatek-automation.com	Anbieter von Automatisierungslösungen für verschiedene Industrien																		Hersteller modularer Automatisierungssysteme – spezialisiert auf Maschinenbau-Lösungen.																											manuav_a_liste		2025-05-26T13:34:45.072Z	open	$none			
2VKULJ22CPFTEFHC		GM36NT6FBTLPRXEU	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+49746196220	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 7461 96220					Bittner Verpackung GmbH						www.bittner-gmbh.de																			Deutscher Anbieter von individuellen und standardisierten Blisterverpackungen, mit umfassenden Veredelungsmöglichkeiten und Fokus auf Produktschutz und Präsentation.																											manuav_a_liste		2025-05-26T13:39:52.216Z	open	$none			
32H3LUKN5NVXUDRQ		8M48PA77NGE9YRHB	manuav_a_liste	open	$none	2025-05-26T13:39:47.494Z	2025-05-26T13:39:47.494Z			+49210255180	Europe/Berlin		Adressrecherche_Edel_Anna_Alt.csv				0049 2102 5518 0					DKV Mobility						www.dkv-mobility.com																			Bietet europaweit Mobilitätsdienstleistungen an, darunter Tank- und Servicekarten, Mautlösungen und digitale Produkte für das Flottenmanagement.																											manuav_a_liste		2025-05-26T13:40:13.913Z	open	$none			
