Company;# Employees;Industry;Website;Company Linkedin Url;Company Street;Company City;Company State;Company Country;Company Postal Code;Company Address;Keywords;Company Phone;Short Description;model_score;confidence;reasoning;cost_usd;token_cost_usd;web_search_calls;service_tier;model;run_id
SPAREPARTSNOW GmbH;31;internet;http://www.sparepartsnow.de;http://www.linkedin.com/company/sparepartsnow-gmbh;55 Campus-Boulevard;Aachen;North Rhine-Westphalia;Germany;52074;55 Campus-Boulevard, Aachen, North Rhine-Westphalia, Germany, 52074;internet marketplace platforms, kraftübertragung, getriebe, ersatzteil-preistransparenz, herstellerübergreifende ersatzteilversorgung, breites sortiment, nachhaltigkeit, industrielle automatisierungskomponenten, steuerungssysteme, electrical equipment & supplies, automatisierungskomponenten, digitale industrieplattform, mehrsprachigkeit, online-bestellung, b2b plattform, mehrsprachige industrieplattform, unabhängiger ersatzteilhändler, kreislaufwirtschaft in der industrie, original ersatzteile online, antriebstechnik, industriebedarf, internationale verfügbarkeit, sicherer einkauf, hydraulics & pneumatics, online-plattform, werkzeugmaschinen ersatzteile, schnelllieferung für industrieanlagen, steuerungstechnik, internationale kunden, automatisierung, schnelllieferung, industrielle ersatzteile, digitaler vertrieb, mehrsprachige plattform, lager, industrie 4.0, ersatzteile für werkzeugmaschinen, hydraulikzubehör, innovative beschaffung, ersatzteil-logistik, kreislaufwirtschaft, kundenzufriedenheit, ki-basierte ersatzteilsuche, hydraulik und pneumatik, ki-technologie, großhandelsqualität, ersatzteile für maschinen, ersatzteilmanagement, preisgarantie, schnelle lieferung, schnellservice bei ersatzteilen, herstellerunabhängigkeit, digitale beschaffung, originalteile, machine tools, sensoren, ki-gestützte suche, elektrotechnik komponenten, energieeffizienz, ersatzteile, industrial equipment & components, qualitätskontrolle, spindeln, elektrokomponenten, großhandel industrie, supply chain optimierung, automatisierungslösungen, maschinenkomponenten, automatisierte ersatzteilsuche, manufacturing, b2b, e-commerce, services, all other fabricated metal product manufacturing, sensors, information technology & services, mechanical or industrial engineering, consumer internet, consumers, internet, hardware;'+49 89 262093836;"SPAREPARTSNOW GmbH is a German company based in Nordrhein-Westfalen, established in October 2022. It operates an online platform dedicated to industrial spare parts and related services. The company has significantly expanded its product range from 20,000 to over 2 million spare parts, focusing on categories such as electronics, spindles, bearings, ball screws, mechanical spare parts, and lubricants.

The platform serves as a universal B2B marketplace, connecting leading parts manufacturers directly with end customers. This model streamlines the procurement process for manufacturing companies, reducing costs and eliminating the need for specialized resellers. Customers can conveniently order original components online or via smartphone, benefiting from transparent availability, delivery times, and pricing. SPAREPARTSNOW emphasizes quality by sourcing components from suppliers whose products are factory-installed by machine manufacturers. The company also utilizes Microsoft Azure services to ensure the scalability and efficiency of its platform, aiming to become a key player in the spare parts market for manufacturing industries across Europe.";9.0;high;SparePartsNow is a fast-growing German B2B platform for industrial spare parts with millions of SKUs and thousands of customers in manufacturing. Strong DACH presence, clear enterprise/SME buyer personas and sizable deal values make outbound economically sound. Highly scalable, standardized offering and clear ROI story are very suitable for phone-led lead generation in DACH.;0.014984;0.004984;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
Convento GmbH;25;information technology & services;http://www.myconvento.com;http://www.linkedin.com/company/convento-gmbh;4 Oberstrasse;Neuss;North Rhine-Westphalia;Germany;41460;4 Oberstrasse, Neuss, North Rhine-Westphalia, Germany, 41460;big data, prsoftware, ki, it services & it consulting, online press spiegel, influencer identification, topic planning, media intelligence, media outreach automation, media reports, media profiles, media contact enrichment, media monitoring, event management, media reach, media trend tracking, stakeholder relations, press release distribution, media content tagging, contact management, media database, data import, alerts & newsbriefings, content creation, client management, media engagement, ai-based media research, media and information services, content distribution, media sentiment analysis, media impact kpis, content management, public relations and communications, pr backoffice, media campaign monitoring, media analysis, media research, media influence profiling, media monitoring and analysis, media coverage archiving, media coverage analysis, relationship management, templates, b2b, services, public relations agencies, data protection, analytics, responsive design, project management, enterprise software, enterprises, computer software, information technology & services, events services, public relations & communications, productivity;'+49 2131 200900;"When our Managing Director Rainer Maassen founded Convento in 1992, he was pursuing one goal: to make communication easier and more professional through innovative PR software.

We achieve this goal through short decision-making processes, strong teamwork and many years of expertise. We leave nothing to chance, which is why everything from development to customer care and support is done in-house. Sustainability is therefore not just a buzzword for us, but has been lived for over 25 years with long-standing employees and service providers.

Over the years, the PR software has become our current cloud solution ""myconvento"". It unites the separate work areas in communications into an integrated PR management system for an optimal workflow. myconvento relieves communications professionals of routine tasks, adapts to every end device and ensures that the message gets to where it is supposed to get to.

Learn more at http://www.myconvento.com";8.2;high;"Cloud PR & communications suite with media database, monitoring and CRM, clearly B2B for comms teams and agencies. Strong DACH focus (German site, DACH media data, German sales contacts) plus expansion to NA. SaaS, demo-led, likely mid-ticket with recurring revenue and scalable onboarding. Clear phone pitch to heads of communications/PR; competitive but differentiated via DACH data depth and long track record.";0.014974;0.004974;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
dltHub;31;information technology & services;http://www.dlthub.com;http://www.linkedin.com/company/dlthub;;Berlin;Berlin;Germany;;Berlin, Berlin, Germany;software development, data merging, data profiling, integration, enterprise data democratization, ai co-pilot, data pipeline deployment automation, orchestration, openapi, automation, data pipelines, incremental loading, data validation, data pipeline extensibility, self-service, openapi data source, data pipeline testing, data pipeline scalability, python data pipelines, data clustering, no-backend data loading, monitoring, data observability, data testing, data pipeline reliability, data pipeline performance, data load automation, information technology and services, data profiling tools, data lake, data sources, data sources integration, schema evolution, api support, data warehouses, sql databases, data destinations, open source data tools, customization, data pipeline deployment, testing, maintenance, schema hints, declarative, custom data sources, data deduplication, data source hacking, etl/elt automation, data pipeline orchestration, scalability, data democratization, data governance tools, elt, data quality, self-service data access, declarative data pipelines, data pipeline integration, incremental testing, chatgpt co-pilot, data transformation, data pipeline scaling, data ingestion, data warehouse, data lakes, data security, data pipeline code generation, python, data monitoring tools, data observability tools, data normalization, data partitioning, data pipeline automation, chatgpt integration, data pipeline customization, data contracts, data pipeline monitoring, schema evolution alerts, data pipeline maintenance, python libraries, data loading, dockerized deployment, data schema management, open source, rest api, ai-assisted data pipelines, code automation, data catalog, extensibility, data versioning, data quality alerts, data automation in python, data governance, self-service data pipelines, lightweight data pipelines, reverse etl, data pipeline security, data pipeline flexibility, etl, schema inference, data management and analytics, data lineage, data compliance, b2b, d2c, computer systems design and related services, analytics, data management, information technology & services, computer & network security, computer software;'+49 176 83020993;"dltHub is a Germany-based company that develops an open-source, Python-native data engineering platform aimed at making data engineering accessible to all Python developers. Its main product, **dlt**, is a pip-installable Python library that simplifies the creation, deployment, and maintenance of data pipelines. This tool allows users to load data from various sources into well-structured datasets, handling tasks like schema inference and data validation automatically.

The dltHub platform supports both individual developers and teams by providing features for pipeline deployment, runtime management, and monitoring. It fosters a community where users can share code snippets and solutions, bridging traditional data engineering with Python development. dltHub serves a diverse range of customers, including startups and Fortune 500 companies, particularly in sectors like financial services and healthcare. The platform enhances collaboration and efficiency in data pipeline management, making it easier for developers to deliver reliable data and reports.";7.5;high;dltHub builds an open-source Python EL/ELT tool and upcoming platform aimed at data teams and developers, clearly B2B with enterprise and OSS users. There are strong EU and some DACH signals and mid/upper-market data teams are a sizable TAM. Deal sizes and LTV are likely solid via platform and services, onboarding is scalable, and the value prop is easy to pitch by phone. Some uncertainty remains around concrete paid offerings and specific DACH revenue focus, so score is attractive but not top-tier.;0.01396;0.00396;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
Matchory;32;information technology & services;http://www.matchory.com;http://www.linkedin.com/company/matchory;24 Alpenstrasse;Ulm;Baden-Wuerttemberg;Germany;89075;24 Alpenstrasse, Ulm, Baden-Wuerttemberg, Germany, 89075;sourcing, procurement, supply chain, big data, artificial intelligence, procurement software, machine learning, automation, supply chain transparency, supplier data, sustainability, software development, ai-based supplier benchmarking, ai-driven supplier discovery, supplier management, sustainable sourcing, automated sourcing, manufacturing, ai-powered decision making, supply market monitoring, sourcing optimization, market insights, supplier screening, procurement services, industrial automation, supply chain digitization, ai procurement platform, multi-user collaboration, esg compliance, supplier benchmarking, supply market analysis, supplier profiling, real-time data, supply chain transparency tools, ai matchmaking, ai for r&d supplier discovery, collaborative procurement, emerging supplier identification, certification tracking, supplier analysis, supply chain management, market analysis tools, supply chain resilience, supplier qualification, supplier diversity analysis, digital procurement, risk mitigation, supplier risk assessment, cost savings, supplier innovation, supplier search automation, regional supplier comparison, cost reduction, automated supplier long-listing, generative ai sourcing, logistics, b2b, consulting, services, management consulting services, risk management, predictive analytics, operational efficiency, enterprise software, enterprises, computer software, information technology & services, environmental services, renewables & environment, mechanical or industrial engineering, logistics & supply chain;'+49 73 137855269;"Matchory is a German procurement technology company founded in 2019. It specializes in enhancing global supply chains through AI-driven supplier discovery and strategic sourcing solutions. The company offers a cloud-based platform with a comprehensive supplier database that includes over 14 million manufacturing and raw material suppliers worldwide. This enables businesses to efficiently find, compare, and evaluate suppliers based on various criteria.

The platform utilizes artificial intelligence, machine learning, and web scraping to create detailed supplier profiles with more than 2 billion data points. This technology significantly reduces the time required for sourcing teams to identify new suppliers, providing alternative suggestions that may be more cost-effective or of higher quality. Matchory supports integration with ERP systems and promotes team collaboration within organizations. Its services cater to key procurement needs, including category strategy development and cost optimization. The company collaborates with industry leaders and is committed to promoting transparency and responsible sourcing practices.";9.0;high;Matchory is a B2B SaaS supplier discovery platform for procurement teams with clear enterprise ICP and strong German roots (GmbH, Ulm, German customers such as Bosch and DMG Mori). It is well funded, clearly operational, and targets a broad DACH/global procurement TAM with high deal values and scalable onboarding. Positioning is differentiated, innovation- and AI-led, and the value prop is easy to pitch by phone, making it an excellent Manuav fit.;0.013789;0.003789;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
Sirum GmbH;27;information technology & services;http://www.sirum.de;http://www.linkedin.com/company/sirum-gmbh;32 Am Sandtorkai;Hamburg;Hamburg;Germany;20457;32 Am Sandtorkai, Hamburg, Hamburg, Germany, 20457;it services & it consulting, lagerverwaltung, skalierbarkeit, branchenspezifische anpassungen, datenintegration, webbasierte saas-lösung, fahrzeugdaten, routenoptimierung, bordero-management, gps navigation, datenverschlüsselung, fahrer-app, multi-user-zugriff, lagerlogistik, digitale hallenrevision, scannerlösungen, app-integration, dispositionssoftware, echtzeit-lagerbestandskontrolle, netzwerkanbindung, berichtswesen, schnittstellen zu partnernetzwerken, kundenkommunikation, private cloud, cloud-basierte logistiksoftware, echtzeit-statusmeldungen, fahrzeug-teileverwaltung, transport management system, telematik, transportation, logistics and supply chain, api schnittstellen, schnittstellen zu frachtenbörsen, integrierte lager- und transportplanung, automatisierte rechnungsstellung, modulares system, sicherheitsstandards in deutschland, automatisierte tourenplanung, automatisiertes abrechnungssystem, kundenportal, auftragsverwaltung, fahrzeugüberwachung, frachtbörsen, b2b, b2b2c, consulting, services, freight transportation arrangement, information technology & services;'+49 40 228683750;"Sirum GmbH is a logistics software company based in Hamburg, specializing in digital solutions for supply chain management and transport processing. The company focuses on providing integrated software systems that promote transparent and efficient cooperation along the supply chain.

Their flagship product, Sirum Transport Management ERP (TME), combines Transport Management System (TMS) and Enterprise Resource Planning (ERP) functionalities. This solution is designed for small and medium-sized enterprises (SMEs), unifying transport-related processes and data into a single platform. Key features include comprehensive integration of transport modules, a proprietary telematics app for real-time tracking, and smart document management for paperless cooperation.

Sirum GmbH primarily serves customers in the logistics and transport sectors, helping SMEs optimize their supply chain and transport management digitally. The company employs between 11 and 50 people and generates revenue estimated between 11 million and 100 million euros.";8.0;high;Sirum is a B2B logistics/TMS/ERP SaaS provider for transport companies, shippers and logisticians, headquartered in Hamburg with clear German-language presence and DACH focus. It sells multi-module software with likely healthy ACV and scalable onboarding, in a large DACH logistics TAM. Competition is strong but Sirum positions as an integrated, modern cloud suite, very pitchable to operations/management buyers by phone.;0.013827;0.003827;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
CyberCompare;20;information technology & services;http://www.cybercompare.com;http://www.linkedin.com/company/cybercompare;9 Groenerstrasse;Ludwigsburg;Baden-Wuerttemberg;Germany;71636;9 Groenerstrasse, Ludwigsburg, Baden-Wuerttemberg, Germany, 71636;cyber security, penetrationstest, risk assessment, betriebstechnologie, iot, industrial cyber security, iso 27001, itsecurity, ot, security operations center, fernwartung, netzwerksegmentierung, endpointsecurity, incident response, iso27001, soc, siem, xdr, ndr, edr, mdr, mssp, cybersecurity, security roadmap, it services & it consulting, tendering for cybersecurity, consulting, market intelligence, vendor neutral analysis, information technology and services, cybersecurity sourcing, security co-pilot service, cost benchmarking, security vendor comparison, market research in cybersecurity, offer comparison platform, offer comparison, independent cybersecurity advice, vendor management, cybersecurity projects, third-party risk management, security offer evaluation, project management, nis2 diagnostic, 360 security diagnostics, security offer analysis, security diagnostics, b2b, services, computer systems design and related services, penetration testing, managed services, data protection, digital transformation, computer & network security, information technology & services, management consulting, productivity;'+49 711 81191494;"CyberCompare is an independent cybersecurity purchasing platform developed by Bosch. It aims to simplify and make IT, OT, and IoT security more affordable for businesses and public sector entities. As a neutral intermediary, CyberCompare helps customers assess their cybersecurity needs, compare offers, and create actionable decision templates.

Founded by a team with extensive experience in cybersecurity and industrial technology, CyberCompare is headquartered in Ludwigsburg, Germany. The company employs fewer than 25 people and operates independently, ensuring unbiased advice without vendor conflicts of interest. 

CyberCompare offers services such as Cyber Risk Diagnostics, customer-specific market studies, and support for the procurement process through RFI and RFP services. Additional offerings include ongoing expert advice and cost benchmarking to optimize security budgets. With a broad customer base that includes medium-sized companies and blue-chip corporations, CyberCompare provides reliable, market-tested guidance to help organizations navigate the complex cybersecurity landscape.";8.5;high;CyberCompare is a B2B cybersecurity purchasing platform helping mainly industrial/enterprise customers select IT/OT/IoT security providers in a structured tender process, with clear German roots and DACH focus, multiple German contacts, and Bosch backing. It serves broad mid-market/enterprise TAM, has standardized 4‑step projects and many customer quotes, suggesting strong delivery capacity and solid ACVs that justify paid outbound. Phone pitch is clear (independent comparison to save money and improve cyber resilience) and buyers (CIO/CISO/IT, procurement) are reachable, though category is a;0.015052;0.005052;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
DOUGLAS Marketing Solutions;19;marketing & advertising;http://www.douglas-marketing-solutions.com;http://www.linkedin.com/company/douglasmarketingsolutions;7 Luise-Rainer-Strasse;Duesseldorf;North Rhine-Westphalia;Germany;40235;7 Luise-Rainer-Strasse, Duesseldorf, North Rhine-Westphalia, Germany, 40235;advertising services, word-of-mouth marketing, programmatic advertising, product sampling, performance metrics, retargeting options, retail, target audience identification, influencer marketing, media planning, digital advertising, product reviews, social media ads, first-party data, omnichannel marketing, retail media, product test campaigns, luxury beauty advertising, brand visibility, digital shelf, beauty community engagement, audience targeting, ad campaign optimization, campaign analytics, brand awareness, performance marketing, retargeting, crm data utilization, customer journey optimization, brand loyalty campaigns, user consent targeting, personalized ad creatives, market penetration strategies, self-service ad platform, beauty sector, roi tracking, word-of-mouth product reviews, data-driven marketing, e-commerce marketing, search engine marketing, campaign management, cross-channel campaigns, b2b, e-commerce, consulting, services, marketing & advertising, sem, consumer internet, consumers, internet, information technology & services;'+49 80 06906909;"DOUGLAS Marketing Solutions is the in-house media agency of the DOUGLAS Group, Europe's leading beauty retailer. Established in 2019, it operates as a full-service retail media unit, utilizing extensive first-party data to create targeted media campaigns for brands in the beauty, health, and lifestyle sectors. The agency focuses on precision targeting across nine European markets, including Germany, Austria, Switzerland, the Netherlands, Belgium, Italy, France, Spain, and Poland.

The agency offers a range of services, including strategic consulting, campaign management, media planning, and reporting. It provides solutions such as sponsored product ads, display advertising, and retail media, all designed to enhance brand visibility and consumer engagement. With over 2,400 physical stores and a robust online presence, including more than 44 million CRM members and 32 million monthly online shop visits, DOUGLAS Marketing Solutions is well-positioned to drive effective advertising strategies for its partners. The agency is committed to consolidating its leadership in retail media while delivering data-driven insights and tailored omnichannel strategies.";8.4;high;"Retail media unit of Douglas Group offering data-driven ad solutions to beauty brands across Europe, with strong German roots and clear B2B focus. Large DACH TAM, recurring campaign logic and scalable onboarding via self-service and managed services. High phone-pitchability to brand/marketing decision-makers; economics justify outbound.";0.013745;0.003745;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
VCG.AI;30;information technology & services;http://www.vcg.ai;http://www.linkedin.com/company/vcg-ai;26 Tuebinger Strasse;Stuttgart;Baden-Wuerttemberg;Germany;70178;26 Tuebinger Strasse, Stuttgart, Baden-Wuerttemberg, Germany, 70178;value chain analysis, regional development, scientific research integration, circular economy, impact assessment, partner matchmaking, environmental services, market intelligence, investment opportunities in circular economy, valorisation of waste, circular innovation acceleration, industrial waste transformation, sustainable resource management, industrial biotechnology, industrial by-products valorisation, technology assessment, supply chain optimization, decentralized resource networks, market trend analysis, circular biomaterials, ai-powered solutions, bio-based materials sourcing, circular business models, by-product market matching, sustainable industrial symbiosis, data-driven decision making, regional circular hubs, real-time analytics, business model innovation, circular project development, bioeconomy, sustainable materials, circular investment validation, sustainable development, circular supply chain design, market and technology landscape, innovation in bioeconomy, patent landscape analysis, technology readiness level, renewable materials, regional resource mapping, circular product development, supply sourcing, environmental impact reduction, technology scouting, b2b, government, consulting, services, research and development in the physical, engineering, and life sciences, renewables & environment, sustainability;'+49 6172 993773;"VCG.AI is a German deep-tech startup focused on artificial intelligence solutions that enhance the circular economy. The company specializes in upcycling industrial by-products and waste into valuable resources, using AI and big data analytics to create innovative processes and business models. Their mission is to support industries in decarbonizing supply chains in a profitable and sustainable manner.

The company offers a proprietary AI platform called the Value Chain Generator, which connects renewable feedstocks, suppliers, technologies, and markets. This platform analyzes vast amounts of data to identify suitable waste materials and evaluate various conversion technologies. VCG.AI also maintains the BioLinks Database, which catalogs profitable circular value chains and technologies. Additionally, they provide consulting services to help financial institutions assess and finance circular economy projects, reducing investment risks. VCG.AI collaborates with industry leaders and public authorities across multiple countries to promote sustainable practices and market access.";8.4;high;VCG.AI is a Stuttgart-based deep-tech B2B platform using AI and data to build circular value chains for industries, cities, and regional developers, with clear demo-led sales and German corporate form. Strong DACH base, EU grants, awards and city/cluster clients suggest solid budgets and recurring data-intel use cases. ICP (industrial, public sector, clusters) is broad in DACH and reachable via phone, and delivery is software/data-driven, so they can onboard many clients. Slightly lower than “dream” due to somewhat niche vertical and mix of public-sector procurement dynamics.;0.015151;0.005151;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
INWX GmbH;28;information technology & services;http://www.inwx.com;http://www.linkedin.com/company/inwx;30 Prinzessinnenstrasse;Berlin;Berlin;Germany;12307;30 Prinzessinnenstrasse, Berlin, Berlin, Germany, 12307;technology, information & internet, ssl certificates, domain transfer, icann accreditation, api access, premium domains, multi-language idn support, secondary dns, domain management automation, dns management tools, glue records, information technology and services, dnssec dns management, premium domain handling, api integration, dns management, api management, domain registration, internet services and infrastructure, whois privacy, domain portfolio management, real-time domain management, ssl support, domain transfer lock, premium domain pricing, two-factor authentication, bulk domain management, idn domain registration, domain privacy, local contact trustee, dynamic dns updates, multi-language support, dnssec, security features, dnssec support, local contact service, transfer with auth code, automation of domain orders, idn support, dynamic dns, api for domain management, global nameservers, virtual nameservers, b2b, e-commerce, services, web search portals, libraries, archives, and other information services, information technology & services, consumer internet, consumers, internet;'+1 408-979-4477;Das 2014 in Berlin gegründete Unternehmen ist ein ICANN akkreditierter Domain-Registrar verwalten wir über 450.000 Domains unserer Kundinnen und Kunden. Zur Produktpalette gehören ein Portfolio von über 2000 verschiedenen Top-Level-Domains (TLDs) sowie Hosting und SSL-Zertifikate.;7.8;high;INWX is a German ICANN-accredited domain registrar with >100k customers and 500k+ domains, clearly B2B-focused on hosters, resellers and corporate clients in Europe, especially Germany. Pricing and broad TLD portfolio support solid ACV/LTV and large DACH TAM. Operations and onboarding are highly standardized and scalable. Competitive space is crowded, but their EU/GDPR positioning and reseller focus provide a defensible niche suitable for outbound calling in DACH.;0.015132;0.005132;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
Cyanite;22;information technology & services;http://www.cyanite.ai;http://www.linkedin.com/company/cyanite;27 Gneisenaustrasse;Berlin;Berlin;Germany;10961;27 Gneisenaustrasse, Berlin, Berlin, Germany, 10961;machine learning, music information retrieval, data science, music emotion, music industry, saas, artificial intelligence, music, api, music ai, ai, deep learning, software development, music mood detection, music discovery, music trend uncovering, music similarity search, music search engine, genre classification with 1500+ genres, music metadata standardization, music content analysis, gdpr compliant ai, music library management, audio content analysis, music playlist curation, audio similarity analysis, music library blind spot detection, music ai for content creators, music search filtering, music technology, music content personalization, music ai for artists and labels, music ai training datasets, music content strategy optimization, music visualization tools, api integration, music metadata automation, music metadata, music mood analysis, music catalog management, auto-tagging, ai-powered music search, music tagging taxonomy, music data analytics, music genre discovery tools, music industry ai tools, natural language descriptions, ai for music marketing, music content management, music licensing optimization, ai music tagging, music emotional analysis, music content organization, music search by lyrics, music search api, music genre classification, ai for music licensing, music catalog deep analysis, ai for classical music catalogs, machine learning models, visual data visualization, music metadata for sync licensing, music data enrichment, music licensing support, music genre expansion, music trend analysis, music content discovery, music genre tagging, music catalog insights, music data security, b2b, b2c, d2c, services, web search portals, libraries, archives, and other information services, information technology & services, computer software;'+49 172 4470771;"Cyanite is a German music technology company founded in 2019 that focuses on AI-driven music tagging, search, and recommendation services. The company offers proprietary tools designed to analyze and tag music catalogs with high precision, helping music professionals efficiently organize and discover content. 

Cyanite's core services include AI music tagging, similarity search for finding related tracks, and innovative search engines that utilize natural language. The company also provides song visualizations and access to its capabilities through a web app and API, serving over 200,000 users and more than 200 music companies globally. With a strong emphasis on data security and GDPR compliance, Cyanite aims to enhance catalog management and increase licensing opportunities for its B2B clients in the music industry.";7.7;high;Cyanite provides AI music tagging/search SaaS to music labels, publishers and media companies, a clearly B2B, demo-led motion with strong German roots and offices in Berlin/Mannheim plus many DACH customers. Deal sizes and recurring API/Web App usage can justify outbound, and onboarding is standardized. TAM is niche (music industry only), but global and includes DACH. Phone pitch to catalog/rights owners is clear and ROI-focused, so overall a solid but not perfect Manuav fit.;0.015218;0.005218;1;flex;gpt-5.1-2025-11-13;prod_1000_eval_de_5_30_b2b_1000
