Company;# Employees;Industry;Website;Company Linkedin Url;Company Street;Company City;Company State;Company Country;Company Postal Code;Company Address;Keywords;Company Phone;Short Description;model_score;confidence;reasoning;cost_usd;token_cost_usd;web_search_calls;service_tier;model;run_id
Tilla;22;information technology & services;http://www.tilla.tech;http://www.linkedin.com/company/tillatechnologies;;Berlin;Berlin;Germany;;Berlin, Berlin, Germany;technology, information & internet, crew change complexity, seafarer management, real-time flight updates, crew change optimization, travel management, crew workflow, crew change reporting, multi-port scenario planning, workflow automation, cost optimization, smart recommendations, seafarer experience improvement, shipping services, port agency data, maritime transportation, scenario analysis, crew change platform, shipping industry, automated flight booking, digital shipping solutions, last-minute port calls, shipping logistics digitalization, data integration, crew change automation, logistics and supply chain, digital platform, crew operations, flight management, crew logistics, crew scheduling, crew change collaboration, cost comparison, crew change cost savings, crew change insights, multi-agency coordination, flight booking, crew change transparency, port planning, crew change management, decentralized crew management, decision support, crew planning, real-time data, b2b, services, port and harbor operations, system integration, operational efficiency, information technology & services, maritime, enterprise software, enterprises, computer software, logistics & supply chain;;"Tilla is a maritime technology company based in Berlin, founded in 2021 by Niklas Weidmann and Narayan Venkatesh. The company specializes in digitizing and automating the logistics of crew changes in the commercial shipping industry. Tilla's AI-powered digital platform streamlines the crew change lifecycle, replacing traditional manual workflows with a more efficient, integrated solution.

The platform offers a comprehensive suite of services, including real-time planning tools, execution management, and advanced reporting for insights into crew change operations. By integrating various data sources, Tilla helps shipping companies reduce costs by up to 24% and save up to 40% of the time spent on crew change logistics. Trusted by over 500 vessels and having facilitated more than 35,000 crew trips, Tilla aims to be the leading end-to-end crew change platform, enhancing efficiency and collaboration in maritime operations.";7.5;high;"Berlin-based SaaS startup offering an AI-powered crew logistics/crew change platform for shipping companies; clearly B2B with sizeable global and DACH maritime TAM and recent funding. German GmbH, German legal pages and local customers confirm DACH presence and operational status. Deal sizes and recurring SaaS model likely justify outbound, onboarding appears productized. Niche but explainable value prop is well-suited to targeted cold calling of shipping operators, though absolute DACH market size is moderate rather than huge.";0.013929;0.003929;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
Cloudbrixx GmbH;27;information technology & services;http://www.cloudbrixx.de;http://www.linkedin.com/company/cloudbrixxgmbh;;Frankfurt;Hesse;Germany;;Frankfurt, Hesse, Germany;projektraum, revisionssicher, kostenkontrolle, intuitiv, dokumentenmanagement, transaktionsmanagement, real estate, immobilienwirtschaft, kostencontrolling, cloud computing, cafm, wartungsmanagement, planserver, bautagebuch, software development, dataroom, due diligence, haustechnik, datenraum, betreiberverantwortung, immobilientransaktion, gewaehrleistungsverfolgung, immobilienmanagement, immobilienbranche, projektentwicklung, maengelmanagement, real estate management, saas, projektmanagement, automatisierte workflows, predictive maintenance, property management, gebäudekataster, nachhaltiges immobilienmanagement, modulare saas-lösung, facility management, smart building, gebäudedaten, smart building technologien, gebäudedatenanalyse, effizienzsteigerung, energieeffizienz, cloudbrixx, prozessautomatisierung, energieeffizienz im bestand, gebäudeautomation, datenintegration, nachhaltiges bauen, gebäudekataster digital, budgetplanung, compliance, digitalisierung im immobiliensektor, digitales immobilienmanagement, datenplattform, ressourcenmanagement, gebäudemanagement plattform, gebäudebeschreibung digital, gebäudebewirtschaftung, risikomanagement, datenanalyse, gebäudebewertung, gebäudetechnik, gebäudebeschreibung, schnittstellenoffen, gebäudebestand, digitale zwillinge, nachhaltigkeit, smart meter, vertragsmanagement, datenvernetzung, energieverbrauchsoptimierung, asset management, information technology, datenmanagement, b2b, consulting, services, engineering services, data management, risk management, workflow automation, energy management, risk assessment, data security, enterprise software, enterprises, computer software, information technology & services, oil & energy, computer & network security;'+49 69 25474150;"Cloudbrixx GmbH is a German company that specializes in cloud-based software solutions for integrated construction and technical real estate management. Its unique platform is designed to digitalize and automate processes related to technical real estate management, including budget and cost controlling, contract management, and maintenance management. The modular and multifunctional software supports the entire lifecycle of a property, from planning to administration, with interconnected modules that allow for efficient data use.

The platform is accessible on various devices, including PCs, Macs, tablets, and smartphones, and offers offline availability. Cloudbrixx prioritizes data security, ensuring compliance with German data protection standards through high encryption and hosting in German data centers. The company targets real estate owners and agents looking to streamline their technical management processes and integrate their real estate management into broader software ecosystems. Cloudbrixx GmbH is headquartered in Frankfurt, Germany.";8.3;high;Cloudbrixx is a German B2B PropTech SaaS for technical real estate management, targeting fund managers, property managers and family offices with modular, recurring software. Strong DACH presence, active operations and awards indicate maturity and sizable DACH TAM. Deal sizes and onboarding look scalable, and the value prop is easy to pitch by phone, with no obvious risk-exclusion flags.;0.01509;0.00509;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
COMAN Software;29;information technology & services;http://www.coman-software.com;http://www.linkedin.com/company/coman-software;3 Luederitzer Strasse;Stendal;Saxony-Anhalt;Germany;39576;3 Luederitzer Strasse, Stendal, Saxony-Anhalt, Germany, 39576;kollaboration zwischen auftragnehmer und auftraggeber, datenerfassung mobil und stationaer, maschinenbau, anlagenbau, projektmanagement, softwareentwicklung, software development, multi-project dashboard, defect management, real-time data integration, offline mobile app, mobile progress recording, revision-proof digital acceptance, complex project oversight, industrial project management, automotive, team collaboration, task management, visual project map, project cost savings, multi-device access, energy & utilities, project planning, automotive project management, collaboration management, automotive body-in-white projects, project data import/export, project status reports, real-time project monitoring, chemical & process industries, milestone tracking, project reporting & analysis, defect and open points tracking, process optimization, offline project tracking, api integration, chemical plant engineering tools, project delay highlighting, project data centralization, model-based project management approach, visual project mapping, model-based project management, document management, project control, public utility shutdown management, access rights management, api connectivity, chemical & process plants, plant engineering, user role management, project management, template-based scheduling, project model configuration, role-based access, project documentation, industry-specific project solutions, project templates, industry-specific solutions, resource allocation, energy sector projects, project risk management, project cost reduction, performance analysis, resource management, project cost tracking, visual project overview, energy maintenance projects, project monitoring, performance dashboards, project tracking, offline-capable mobile app, b2b, services, engineering services, mechanical or industrial engineering, information technology & services, productivity;'+49 393 1686260;"COMAN Software specializes in project management solutions tailored for large industrial construction projects. Founded in 2015, the company has developed a fully integrated platform designed to enhance transparency and manage complexity, particularly in sectors like automotive and plant engineering.

The software offers a centralized approach to project management, allowing users to plan deadlines, track progress, manage defects, and collaborate through digital checklists. Key features include digital project steering, scheduling tools, defect management, and a collaboration manager that consolidates project information in real time. The dashboard provides customizable views for monitoring project status, while the COMAN Manager desktop tool allows for configuration of access permissions and project models.

With over 6,000 users from more than 100 companies across 30 countries, COMAN Software has established a strong international presence, particularly in the automotive industry. The platform is designed to improve project quality and efficiency, making it a valuable resource for managing large-scale industrial projects.";8.5;high;COMAN offers B2B project management SaaS for mechanical and plant engineering, serving large industrial enterprises with references like Mercedes-Benz, VW, BMW and others. It is a German GmbH with offices in Stendal and Berlin, German-language site, and active operations. High-value, complex projects and enterprise licenses support strong deal sizes and recurring revenue. TAM in DACH industrial engineering is large, onboarding is software-led, and the value prop (project transparency, delay reduction, defect tracking) is very clear for phone outreach. Conservative deduction because category is;0.01399;0.003991;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
Hertz Kompressoren;26;machinery;http://www.hertz-kompressoren.com;http://www.linkedin.com/company/hertzkompressoren;;Bamberg;Bavaria;Germany;;Bamberg, Bavaria, Germany;compressor & machinery, machinery manufacturing, water-cooled systems, high pressure air dryers, air receivers, compressed air equipment, high-quality compressors, industrial design, nitrogen generators, compressor performance, water circulation, energy-saving compressed air, green manufacturing, reciprocating compressors, energy savings, industrial equipment, compressed air solutions, rotary screw compressors, heatless adsorption dryers, innovative compressor models, water-cooled compressors, car wash compressors, oil/water separators, compressor noise reduction, after sales service, machinery, leed gold certified facility, industrial compressors, filters, modular adsorption dryers, valve design, energy equipment, thermal mass air dryers, industrial technology fair, spare parts, water separators, sustainability, oil-free compressors, compressed airline filters, modular nitrogen generators, compressed air systems, air dryers, air compressors, manufacturing, energy efficiency, b2b, services, pump and compressor manufacturing, environmental services, renewables & environment, mechanical or industrial engineering;'+1 704-579-5900;"Hertz Kompressoren is a premium air compressor manufacturer based in Bamberg, Germany, established in 2005. As a brand under the Dalgakiran Group, it leverages over 55 years of design and manufacturing expertise. The company operates globally, selling and servicing air compressors in more than 50 countries, with machines in over 100 countries.

Hertz Kompressoren offers a wide range of compressed air solutions, including rotary screw, scroll, reciprocating, turbo, and booster compressors. Their products are designed for various industrial applications, emphasizing energy efficiency and environmental responsibility. The company also provides air treatment solutions such as dryers, filters, and gas generators. With a strong focus on innovation, Hertz Kompressoren invests in research and development to enhance product performance and reliability. Their commitment to customer satisfaction is reflected in their global sales and service network, which ensures efficient installation and maintenance support.";7.5;high;"Manufacturer of industrial compressors and compressed air systems with global and strong German presence, HQ in Bamberg and active across DACH. Pure B2B with large industrial TAM and high deal sizes; offerings are scalable and standardized. Economics and DACH footprint justify outbound, though market is somewhat red-ocean with several established competitors.";0.01492;0.00492;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
Pruna AI;26;information technology & services;http://www.pruna.ai;http://www.linkedin.com/company/pruna-ai;5 Freddie-Mercury-Strasse;Muenchen;Bayern;Germany;80797;5 Freddie-Mercury-Strasse, Muenchen, Bayern, Germany, 80797;technology, information & internet, cloud platforms, ai model tuning, optimization algorithms, dedicated support, compression algorithms, lossless speed-up, comfyui, model pruning, cloud computing, energy-efficient ai, quantization to 4 bits, software development, model quality preservation, model inference, model size, model fine-tuning, model adaptation, model compression, model speed, performance benchmarks, custom evaluation, model speed-up, performance optimization, ai inference optimization, model deployment, quantization, compatibility, model scaling, model efficiency, model compression techniques, cost reduction in ai, ml pipeline, ai optimization engine, pruning, model acceleration, evaluation metrics, information technology and services, open-source, energy savings in inference, docker deployment, scalability, artificial intelligence, deployment optimization, tritonserver, replicate, sagemaker, ml model acceleration, auto caching, gpu acceleration, model smashing, on-premise support, cloud compatibility, model size reduction, machine learning, b2b, services, computer systems design and related services, information technology & services, enterprise software, enterprises, computer software, open source;;"Pruna AI is a technology company based in Munich that specializes in AI optimization. They provide an engine that optimizes and compresses machine learning models, making them faster, cheaper, smaller, and more energy-efficient. Their solution simplifies scalable inference for machine learning teams, enhancing the efficiency of AI models across various applications, including computer vision, natural language processing, and audio processing.

The company's AI optimization engine can compress models by 2-10 times, significantly reducing computational costs and environmental impact while maintaining accuracy. A key feature is their compression agent, which automatically determines the best balance between speed and accuracy. Pruna AI's platform offers both open-source and pro versions, with the pro version available on an hourly basis, similar to cloud GPU rental pricing. Founded in Germany, Pruna AI has a team of 11-50 employees and has raised $6.5 million in seed funding from notable investors. They aim to support businesses in leveraging AI efficiently and sustainably.";8.5;high;Pruna AI offers B2B AI model optimization (SaaS/enterprise) with clear demo-led motion and enterprise tier, strong headquarters presence in Munich and Paris, and pan-European positioning including DACH. Deal sizes and LTV are likely high, with scalable onboarding for many ML teams. ICP (ML/AI leaders, CTOs) is well-defined and phone-pitchable. Category is competitive but Pruna has a clear efficiency niche and strong innovation story. Overall an attractive DACH-focused tech client for outbound, though still relatively early-stage.;0.015239;0.005239;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
LOYALTY FACTORY GmbH;7;information technology & services;http://www.easir.com;http://www.linkedin.com/company/mehr-und-schneller-verkaufen;;Chemnitz;Saxony;Germany;;Chemnitz, Saxony, Germany;einfaches crm, leadmanagement, online crm, digitales verkaufen, customer relationship management, vertriebsbeschleunigung, software development, sales performance tracking, customer engagement strategies, follow-up automation, sales tactics development, sales path development, customer retention tools, automotive opportunity management, sales metrics, customer retention, personalized sales strategies, customer engagement, customer engagement platform, sales strategy, sales automation software, sales performance analytics, follow-up strategies, sales performance, sales coaching resources, market competitiveness, sales process management, car dealership data analytics, crm integration, automotive sales analytics, sales coaching tools, opportunity management, customer experience, sales enablement tools, sales enablement solutions, sales training, sales conversion, automotive industry, automotive sales growth, playbooks, sales coaching, sales conversion optimization, car sales conversion tools, sales efficiency tools, car sales automation, automotive lead management, car sales process optimization, market analysis tools, automotive customer retention, automotive customer lifecycle, sales automation tools, sales growth, car dealership customer experience, sales performance metrics, sales paths, lead management, car dealership sales tools, customer experience improvement, sales data analytics, opportunity conversion, sales enablement platform, sales optimization, sales workflow management, sales analytics, market competitiveness tools, dealership software, playbook automation, sales metrics dashboard, opportunity conversion tools, sales automation, sales playbooks, sales enablement, customer satisfaction metrics, car dealership crm, automotive sales performance insights, sales performance management, automotive sales enablement platform, car dealership sales strategies, automotive sales enablement, sales tactics optimization, car sales performance tools, automotive customer engagement, sales metrics tracking, automotive sales performance management, car dealership customer relationship management, sales performance optimization, personalized selling, customer satisfaction enhancement, sales data visualization, car sales follow-up automation, lead routing, sales tools, sales opportunities, dealership crm, customer lifecycle management, sales process optimization, sales success, car dealership sales metrics, sales training resources, data-driven sales, car sales performance metrics, automotive market analysis, sales workflow automation, automotive sales tools, sales growth strategies, sales performance insights, sales efficiency, sales tactics, automotive customer engagement platform, customer relationships, automotive sales playbooks, sales workflow, automotive sales, car dealership sales workflow, dealership management software, automotive retail, customer engagement tools, customer retention strategies, sales strategy development, customer lifecycle, customer lifecycle tools, automotive sales optimization tools, sales process automation, customer satisfaction, car sales tactics, automotive sales training, sales performance monitoring, customer data management, b2b, services, retail, management consulting services, crm, sales, enterprise software, enterprises, computer software, information technology & services, saas;'+45 70 22 25 70;Loyalty Factory GmbH, wurde 2002 in Deutschland gegründet. Das Ziel: Eine Software zu entwickeln, die zu 100 % auf die Bedürfnisse des Automobilhandels abgestimmt ist und die für jeden Einzelnen im Team so einfach in der Anwendung ist, dass der Händlerbetrieb unmittelbar einen echten Nutzen aus der Software ziehen kann. Die Digitalisierung hat den Arbeitsalltag von Automobilhändlern seit der Firmengründung stark verändert und aus diesem Grund haben wir unsere mehrfach ausgezeichneten Software-Lösungen immer wieder an die neuen Erfordernisse und den Markt angepasst. Die aktuelle Version unserer Software heißt EASI'R Now – eine smarte Leadmanagement-Lösung, welche das Microsoft-Outlook-Email-Programm von Händlern in eine vollfunktionsfähige Leadmanagement-Software verwandelt.;8.0;high;EASI’R offers a B2B SaaS sales enablement platform for automotive dealers, serving 1,700+ dealerships and 16,000–18,000 salespeople across Europe with strong German roots via Loyalty Factory GmbH and offices in Germany and Denmark. ICP is clearly automotive OEMs/dealers, with sizable DACH TAM, recurring SaaS economics and standardized onboarding. They appear operational and growing, with mid-ticket/enterprise deals that justify outbound and a crisp phone pitch to sales and dealer management. Only minor downside is European-wide rather than DACH-exclusive focus.;0.015198;0.005198;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
TEN31 Bank AG;30;banking;http://www.ten31.com;http://www.linkedin.com/company/ten31-bank-real-estate;;Ottobrunn;Bavaria;Germany;;Ottobrunn, Bavaria, Germany;hoa modern banking solutions, property management financing, hoa asset management, hoa partial legal capacity credit, hoa asset investment, financial services, real estate finance, no securities hoa loans, construction loan solutions, banking for housing associations, construction financing, property asset optimization, construction loans, property management bank, hoa modern payment solutions, hoa accounts, hoa construction loans, hoa reserve management, real estate investment, hoa reserve account management, no audit hoa financing, banking, hoa special fund accounts, property management banking, hoa financing, hoa asset growth financing, hoa interest accounts, interest-bearing hoa accounts, hoa loan advisory, secure deposit accounts, interest accounts for hoas, flexible hoa accounts, housing industry bank, b2b, services, commercial banking, real estate investments, real estate;'+49 89 80913460;"TEN31 Bank AG is a German specialist bank established in 2015, originally known as WEG Bank AG. It has strong ties to one of Germany's largest family-run property management companies and focuses on serving the housing industry. The bank provides tailored financial services, primarily financing and advising apartment owners' associations. It offers current and deposit accounts, with deposits protected up to 100,000 EUR under the German deposit guarantee scheme.

In addition to traditional banking services, TEN31 Bank AG has launched a fintech brand called TEN31, which focuses on blockchain-based financial solutions. This initiative reflects the bank's commitment to innovation in the financial sector. Headquartered in Ottobrunn, Germany, TEN31 Bank AG is registered as a joint-stock company and is supervised by the Federal Financial Supervisory Authority (BaFin). The bank emphasizes personal service and customer-oriented communication, contributing to its steady growth and recognition in the housing finance market.";7.3;high;TEN31 is a German BaFin‑regulated specialist bank for the European real estate and housing sector plus blockchain/crypto clients, clearly B2B with strong DACH focus and active operations. It serves property managers and fintechs with high‑value, recurring banking relationships and scalable onboarding. TAM among DACH property administrators and crypto/fintech firms is sizable, economics support outbound, and the offer is easy to pitch by phone. Some services are niche and regulated, but overall risk is manageable for targeted B2B outreach.;0.015204;0.005204;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
Hotelbird;21;information technology & services;http://www.hotelbird.com;http://www.linkedin.com/company/hotelbird;150 Plinganserstrasse;Munich;Bavaria;Germany;81369;150 Plinganserstrasse, Munich, Bavaria, Germany, 81369;mobile checkin, out, digital key system, ble technology, hotel checkin, digital hotel services, selfcheckin, hotel digitization, digital reception, traveltechnology, hoteltechnology, guest journey, guest experience, digital door opening, hotels, it services & it consulting, open api integration, hospitality technology, system integration, digital guest directory, guest communication, hospitality industry, guest service technology, hotel digital solutions, smart hotel solutions, contactless payment, guest engagement, digital guest journey, hotel technology platform, guest data security, customizable hotel digital solutions, guest app, hotel guest app integration, contactless check-in solutions, hospitality digital ecosystem, hotel digitalization, self-service terminal, hotel system interoperability, property management system (pms), online check-in, hotel digital infrastructure, guest management, hotel digital transformation, guest directory, property management system (pms) integration, hotel automation, guest data management, seamless guest flow, contactless check-in, check-in/out automation, hotel guest experience, digital guest experience in hospitality, seamless guest flow automation, hospitality, hotel technology, software development, mobile door opening, api interfaces, mobile key technology, b2b, b2b2c, d2c, services, computer systems design and related services, payment processing, property management, digital transformation, leisure, travel & tourism, information technology & services, enterprise software, enterprises, computer software;'+49 89 21538030;"Hotelbird is a German technology company based in Munich, founded in 2015. It specializes in digital guest experience solutions for the hospitality industry and is recognized as a market leader in Germany for digital check-in and check-out services. The company aims to modernize hotel operations by digitizing traditional reception processes and enhancing the overall guest experience.

Hotelbird offers a comprehensive technology platform that automates and streamlines guest communication and operational workflows. Its core services include fully automated digital check-in, mobile door opening with digital keys, smartphone payment processing, and digital check-out. The platform integrates with over 50 leading hotel system providers, ensuring flexibility and compatibility for hotels. Hotelbird's solutions are designed to reduce costs for hotels while increasing guest satisfaction, supporting a modern, contactless experience. The technology is used in over 100,000 contracted hotel rooms and has been successfully implemented in major hotel chains like Motel One, Accor, Best Western, and InterContinental Hotels & Resorts.";8.4;high;Hotelbird provides B2B SaaS for digital check-in/out and guest journeys for hotels, with strong German roots, DACH references and partnerships. It sells to hotels and chains with sizeable ACV and recurring revenue, and onboarding is standardized and scalable. TAM in DACH hospitality is large and the phone pitch to hotel decision-makers is clear, with low regulatory risk.;0.01373;0.00373;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
Publicare Marketing Communications;28;marketing & advertising;http://www.publicare.de;http://www.linkedin.com/company/publicare-marketing-communications-gmbh;10 Staedelstrasse;Frankfurt am Main;Hessen;Germany;60596;10 Staedelstrasse, Frankfurt am Main, Hessen, Germany, 60596;email marketing, marketing automation, campaign management, database marketing, lead generation, lead nurturing, crm, marketing consulting, multichannelmarketing full service, salesforce marketing cloud, sap emarsys, bloomreach, pardot, softwareentwicklung, crm journey management, b2b websitebesuchererkennung, salesviewer, projektmanagement, email templates, advertising services, datenanalyse, b2b-marketing, marketing-cloud-services, customer data platform, b2c-marketing, software development, personalisierung, web-entwicklung, datengetriebenes marketing, website-besuchererkennung, marketingautomation, performance-optimierung, customer journey, kundenloyalität, content-erstellung, automatisierung, api-integration, information technology and services, plattformauswahl, cross-channel-marketing, targeting, user journey, e-mail-template-design, multichannel-marketing, marketingberatung, kampagnen-management, technische implementierung, e-commerce, kundenbindung, kundenkommunikation, cross-channel orchestrierung, e-mail-marketing, datenanalyse-tools, datenmanagement, full-service-agentur, loyalty-management, deliverability-services, datenschutzkonforme kommunikation, marketing and advertising, crm-integration, automatisierte workflows, realtime marketing, dialogorientiertes marketing, kampagnenentwicklung, b2b, b2c, d2c, consulting, services, retail, advertising agencies, marketing & advertising, saas, computer software, information technology & services, enterprise software, enterprises, sales, management consulting, consumer internet, consumers, internet;'+49 69 60500956;"Publicare provides all services for your business to achieve enduring success with cross-channel customer journeys – from executing individual projects to automating your entire digital communication activities.

Founded in 1994, Publicare Marketing Communications is a digital marketing agency based in Frankfurt am Main, Germany. The company is specialized in the design and execution of email campaigns, multichannel journeys, online advertising and e-business applications for well-known customers like eBay, Lufthansa AirPlus, mobile.de, Villeroy & Boch and Vodafone.";7.8;high;German digital marketing & marketing automation agency with strong B2B focus, many enterprise clients and explicit lead generation/website visitor recognition services. Clear DACH presence (Frankfurt HQ, German site), mature operations and scalable, recurring project potential. Phone pitch to marketing/CRM leaders is straightforward and economics should support outbound.;0.013642;0.003642;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
One Thousand;25;information technology & services;http://www.onethousand.ai;http://www.linkedin.com/company/one-thousand-ai;13 Leuschnerdamm;Berlin;Berlin;Germany;10999;13 Leuschnerdamm, Berlin, Berlin, Germany, 10999;it services & it consulting, ai tech stack, ai in customer service, exponential value creation, ai solutions, ai in industry, management consulting, chatbot ai, ai consulting, ai demand forecasting, ai in manufacturing, ai impact measurement, ai adoption, ai in logistics, ai for marketing automation, ai in consumer electronics, ai use cases, ai scalability, ai breakthroughs, ai cloud integration, ai in production, ai implementation, ai team training, ai predictive maintenance, ai project management, ai business impact, ai in healthcare, ai for product development, information technology and services, ai value creation, ai virtual assistant, ai tour matching, ai rapid deployment, ai in automotive, ai in europe, ai speed to market, data-driven ai, ai predictive analytics, ai for supply chain, ai quality control, machine learning, ai strategy, ai project acceleration, ai in financial services, ai manufacturing automation, virtual customer assistant, ai for traditional business, software development, natural language processing, ai in retail, ai process optimization, ai for smes, ai process automation, ai in business, b2b, consulting, services, management consulting services, business intelligence, predictive maintenance, operational efficiency, information technology & services, artificial intelligence, analytics;;"One Thousand is an AI consulting company dedicated to co-creating artificial intelligence breakthroughs with clients, primarily in Europe. Their mission is to help businesses leverage AI to solve real problems quickly and create significant business value. They focus on dispelling misconceptions about AI adoption and emphasize the rapid development of tailored, production-grade AI solutions using clients' own data.

The company offers services such as AI strategy development, identification of optimal AI use cases, and building enterprise-grade AI applications. They also provide training to embed AI expertise within client organizations, ensuring sustainable adoption and utilization. One Thousand's approach is collaborative, aiming to empower clients to independently tackle future AI challenges.

With a team of 32 dedicated professionals, One Thousand fosters a friendly and adventurous culture. They work closely with organizations seeking to enhance their competitive advantage through strategic AI integration, helping them achieve early and impactful results from their AI investments.";7.5;high;One Thousand is a German AI consultancy/software firm helping enterprises implement AI use cases, strategy, and infrastructure, clearly B2B with German-language offering and HQ in Berlin plus Düsseldorf. Services target mid-sized and large organizations with multi‑week projects and likely 5‑figure+ budgets, making outbound economically viable. Delivery is partly consulting but built around repeatable programs, so onboarding 10+ clients/month is plausible. Category is competitive but AI transformation for DACH enterprises is large, timely, and phone-pitchable to leadership. Overall a solid, DAX;0.01526;0.00526;1;flex;gpt-5.1-2025-11-13;prod_1000_r3_eval_de_5_30_b2b_1000
